date,temperature_2m_mean,precipitation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,wind_speed_10m_max,sunshine_duration,year
2022-09-02,18.944,1.0,24.206501,15.2065,75.205345,14.707222,28403.818,2022
2022-09-03,18.854418,1.4000001,24.1065,13.6565,77.641426,19.966211,41561.258,2022
2022-09-04,19.550251,0.4,23.5565,15.7065,73.26091,22.725668,31268.244,2022
2022-09-05,19.644001,4.9,23.6565,16.1065,75.639305,21.407139,38540.9,2022
2022-09-06,18.050251,8.700001,23.0565,15.106501,83.67256,27.852928,23990.885,2022
2022-09-07,17.23775,4.4,21.0065,15.0565,81.19114,21.794127,38470.938,2022
2022-09-08,15.737751,4.6000004,19.4065,13.5065,85.71655,22.380884,27900.95,2022
2022-09-09,16.169,1.1000001,19.956501,13.356501,82.153984,18.03237,41167.684,2022
2022-09-10,16.471083,0.8,20.9065,13.0065,83.04965,12.371645,33152.64,2022
2022-09-11,17.152332,0.0,22.5565,12.606501,81.58264,15.484185,34972.062,2022
2022-09-12,19.59817,0.8,24.706501,14.6565,76.111694,12.979984,36359.3,2022
2022-09-13,17.389835,2.7999997,20.206501,15.856501,86.25924,16.299694,4659.0996,2022
2022-09-14,17.039833,5.299999,20.7565,14.4565,79.4332,13.281023,38146.15,2022
2022-09-15,14.994002,0.8,18.5065,11.606501,72.474686,15.379206,28892.752,2022
2022-09-16,12.473166,0.1,16.1565,8.1565,63.83609,21.915693,41496.91,2022
2022-09-17,11.287749,0.0,16.3065,6.4564996,60.511677,18.289274,41265.023,2022
2022-09-18,12.546082,0.0,17.956501,7.9065,70.22329,22.322903,35257.75,2022
2022-09-19,13.279418,0.3,16.8565,8.9565,73.13983,8.557102,19072.723,2022
2022-09-20,14.2023325,0.0,19.0565,9.3065,72.479454,8.161764,38532.92,2022
2022-09-21,14.968999,0.0,19.1065,9.3065,72.96189,8.209263,25635.123,2022
2022-09-22,14.808582,0.0,19.9065,8.9565,75.9728,17.106628,34873.508,2022
2022-09-23,15.129414,2.6,18.206501,12.4565,82.69937,15.281989,17987.156,2022
2022-09-24,13.164834,0.2,17.456501,9.2565,74.87365,19.296133,34522.336,2022
2022-09-25,12.271085,0.0,15.8065,7.8564997,69.70483,16.311613,23782.52,2022
2022-09-26,12.566916,1.7,15.4565,10.1565,72.85763,27.103003,18442.195,2022
2022-09-27,10.9565,2.3999999,14.1565,7.8564997,72.5979,26.089443,14581.028,2022
2022-09-28,10.031499,0.1,14.6565,5.7064996,75.296486,16.704155,38001.465,2022
2022-09-29,10.258584,0.0,15.7065,5.0065,77.62514,10.691453,37279.29,2022
2022-09-30,11.479417,5.3999996,16.456501,5.2064996,86.18389,34.94968,15911.734,2022
2022-10-01,14.933583,0.2,18.5565,10.9065,74.460236,25.6233,37417.934,2022
2022-10-02,14.019001,0.4,17.956501,9.856501,77.729256,15.844089,22731.664,2022
2022-10-03,12.304417,0.0,18.1565,6.6064997,83.28844,13.979871,16713.617,2022
2022-10-04,15.391915,0.3,18.1565,12.0565,83.34678,27.776047,11321.669,2022
2022-10-05,15.71275,0.90000004,18.6565,11.606501,77.50529,44.431934,10099.471,2022
2022-10-06,12.816917,0.0,18.0065,7.7565,73.19276,24.57511,36346.195,2022
2022-10-07,14.408582,0.5,18.206501,11.606501,79.21076,31.542658,34201.59,2022
2022-10-08,11.085667,0.0,16.0565,6.9564996,76.78227,13.084402,35833.84,2022
2022-10-09,11.366917,0.0,17.456501,5.5065,75.81783,19.559633,35594.977,2022
2022-10-10,12.068999,1.5,16.1565,7.4065,76.006195,17.654686,24329.033,2022
2022-10-11,9.329417,0.0,14.6565,4.7565,77.8141,11.019764,35044.94,2022
2022-10-12,11.60025,1.3,17.1565,5.6565,81.58378,21.67786,26151.07,2022
2022-10-13,13.410667,9.3,16.3565,10.4065,87.202736,13.779114,30247.861,2022
2022-10-14,11.944,1.2,15.106501,9.1565,91.92536,15.192682,3185.984,2022
2022-10-15,12.300248,0.2,16.6065,7.4065,82.374535,29.957968,28800.0,2022
2022-10-16,13.741918,8.9,16.5065,10.0565,73.70405,24.442913,21600.0,2022
2022-10-17,15.252332,3.4,18.1065,10.0065,81.74238,20.674158,25318.08,2022
2022-10-18,11.271083,0.0,17.4065,6.3065,86.591705,15.815435,32529.432,2022
2022-10-19,13.958584,2.3,16.1565,11.6565,84.66212,30.54701,32540.578,2022
2022-10-20,13.908585,10.0,16.6065,10.3065,92.69705,15.39184,16343.615,2022
2022-10-21,14.675251,5.899999,17.6065,10.106501,85.248474,28.988384,23108.912,2022
2022-10-22,14.693999,0.2,17.456501,11.856501,84.45516,23.950148,25615.758,2022
2022-10-23,15.364831,12.499999,18.4065,13.2565,86.54366,27.475807,13224.051,2022
2022-10-24,13.60025,1.7000002,17.3565,11.5065,83.76472,30.432245,25361.42,2022
2022-10-25,13.583583,0.2,16.8565,10.3065,84.57503,19.486609,31409.38,2022
2022-10-26,15.860667,0.6,18.706501,13.0065,82.38379,31.353085,27809.56,2022
2022-10-27,16.287748,3.9999995,20.1565,11.9565,87.439766,26.867676,20703.676,2022
2022-10-28,15.446082,0.1,18.4065,10.5065,85.1397,28.8,23060.236,2022
2022-10-29,16.296083,3.0,21.3065,10.5065,85.84326,17.31746,21600.0,2022
2022-10-30,14.327334,1.3000001,15.6565,12.1565,85.822395,24.336637,7200.0,2022
2022-10-30,14.062749,6.6000004,17.0065,11.5565,85.785736,24.905132,25739.729,2022
2022-10-31,12.614835,4.1999993,14.606501,10.2065,79.59417,43.992233,24805.602,2022
2022-11-01,12.0252495,2.5,15.2065,8.356501,73.17313,36.115017,24104.492,2022
2022-11-02,10.473166,28.1,13.2565,5.5565,89.6787,26.405453,2863.5764,2022
2022-11-03,8.47525,3.1,12.3065,6.0065,86.25646,17.826363,29803.025,2022
2022-11-04,9.6315,2.8999999,13.7565,4.7565,89.87258,25.49908,0.0,2022
2022-11-05,12.739834,20.399998,14.106501,10.2065,89.30646,24.640942,1503.6301,2022
2022-11-06,12.83775,1.4000001,14.5565,10.5565,84.0352,33.11413,3567.6443,2022
2022-11-07,13.048165,4.7000003,15.2065,11.1565,80.01156,34.882866,23584.814,2022
2022-11-08,11.329417,0.0,14.0065,9.5565,80.65212,28.576382,27917.668,2022
2022-11-09,12.835668,0.0,15.356501,9.2565,82.573746,32.726357,13159.725,2022
2022-11-10,13.675251,0.0,15.7565,7.8564997,86.98098,28.357855,22480.281,2022
2022-11-11,11.687749,0.0,16.3065,8.4065,92.82775,12.10157,27466.24,2022
2022-11-12,10.687752,0.0,15.356501,7.5565,95.51203,12.768586,27374.123,2022
2022-11-13,10.86275,0.3,15.106501,6.4564996,94.418495,20.150354,2785.3032,2022
2022-11-14,11.110667,8.900001,13.9065,8.7565,85.27554,31.104082,5572.2285,2022
2022-11-15,9.710668,19.4,12.106501,7.9065,84.7703,29.519999,18000.0,2022
2022-11-16,9.581499,6.899999,11.3065,7.7064996,85.21459,33.549606,8675.069,2022
2022-11-17,8.404417,2.1999998,11.356501,5.4564996,80.81371,23.565567,26554.57,2022
2022-11-18,6.7002506,0.3,10.5065,3.8565,89.131775,17.595861,25119.434,2022
2022-11-19,7.1898346,6.1000004,10.5565,2.3065,86.17643,22.68,21600.0,2022
2022-11-20,5.81275,7.9,9.1565,1.8065,88.916115,38.30576,0.0,2022
2022-11-21,5.764834,0.1,9.8065,2.8065,87.79758,25.6233,25832.67,2022
2022-11-22,8.214833,5.8,11.4565,2.5065,83.364555,35.09954,17769.246,2022
2022-11-23,9.023168,2.9,12.5065,5.8065,82.7764,31.912327,17858.725,2022
2022-11-24,8.33775,0.0,11.606501,6.1565,83.63717,21.407139,25387.998,2022
